"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
54930,610,292,0,29,"29",0,1973,6,"Monaco Grand Prix","keizan","N",26,0,0,0,0,0,0,0
54929,610,222,0,25,"25",0,1973,6,"Monaco Grand Prix","scheckter","N",22,0,0,0,0,0,0,0
54927,610,332,5,7,"7",0,1973,6,"Monaco Grand Prix","follmer","N",7,5,5,5,5,0,0,0
54926,610,331,0,27,"27",0,1973,6,"Monaco Grand Prix","bueno","N",24,0,0,0,0,0,0,0
54924,610,250,0,19,"19",0,1973,6,"Monaco Grand Prix","pace","N",18,0,0,0,0,0,0,0
54923,610,305,0,20,"20",0,1973,6,"Monaco Grand Prix","hailwood","N",27,0,0,0,0,0,0,0
54921,610,182,2,11,"11",0,1973,6,"Monaco Grand Prix","lauda","N",10,2,2,2,1,0,1,-1
54920,610,238,4,9,"9",0,1973,6,"Monaco Grand Prix","peterson","N",23,0,3,3,2,1,1,0
54918,610,306,2,12,"12",0,1973,6,"Monaco Grand Prix","beltoise","N",11,2,1,1,1,1,0,1
54914,610,309,11,4,"4",0,1973,6,"Monaco Grand Prix","revson","N",4,9,9,10,9,1,0,1
54912,610,290,1,14,"14",0,1973,6,"Monaco Grand Prix","wilson_fittipaldi","N",13,1,1,1,0,0,1,-1
54910,610,235,5,8,"8",0,1973,6,"Monaco Grand Prix","ickx","N",8,5,5,4,3,1,2,-1
54909,610,328,37,2,"2",3,1973,6,"Monaco Grand Prix","stewart","N",2,28,28,21,18,16,10,6
54907,610,224,41,1,"1",3,1973,6,"Monaco Grand Prix","emerson_fittipaldi","N",1,35,35,37,28,4,7,-3
54971,611,317,0,32,"32",0,1973,7,"Swedish Grand Prix","wisell","N",48,0,0,0,,0,,
